roi,band,contrast,Hilbert,IRASA,Residual
Occipital,theta,TS->ESS1,0.3139318260515544,0.15141783848110618,0.2919352646905604
Occipital,theta,WS->ESS1,0.07797920704489214,0.009325929588284824,0.3776917230986494
Occipital,theta,WS->LSS1,0.8440763968940047,0.3992042563414883,0.3806984429462432
Occipital,theta,WS->TS,-0.22508704163666537,-0.13793801240505882,0.09134985928988344
R_DLPFC,alpha1,ESS1->LSS1,0.25909682481536966,0.02747655180193965,-0.576084491326385
R_DLPFC,alpha1,TS->ESS1,-1.7361509009586946,-1.4373241973405277,-2.1873002185038115
R_DLPFC,alpha1,WS->ESS1,-2.3935190724951725,-1.9586860570625457,-2.574412188238769
R_DLPFC,alpha1,WS->LSS1,-2.1753580469205693,-1.9990690314784079,-2.8339907540080818
R_DLPFC,alpha1,WS->TS,-1.30874131925325,-0.9549437319157583,-0.8668017218519531
R_DLPFC,alpha2,ESS1->LSS1,0.18781791916193263,0.11413230845078227,-0.3934087269282861
R_DLPFC,alpha2,TS->ESS1,-1.9186510039532294,-1.4000520204700295,-1.9780064519792466
R_DLPFC,alpha2,WS->ESS1,-2.142093195817655,-1.8510491006111907,-2.179315573458305
R_DLPFC,alpha2,WS->LSS1,-2.1338809071086096,-1.8414835720661742,-2.233774674149344
R_DLPFC,alpha2,WS->TS,-0.8169100717253378,-0.4777274685342275,-0.4307352464346716
R_DLPFC,beta1,ESS1->LSS1,0.6868231163107185,0.4749259667522853,0.5095243683002953
R_DLPFC,beta1,TS->ESS1,-0.9055031683584183,-0.392141446615076,-0.25431963015343784
R_DLPFC,beta1,WS->ESS1,-1.3573894230611865,-0.9565588992926505,-0.5659801934052962
R_DLPFC,beta1,WS->LSS1,-0.44962490253739285,-0.5045028036176514,-0.10981507924067878
R_DLPFC,beta1,WS->TS,-0.9225882065011344,-0.746915015413455,-0.5092271684086692
R_DLPFC,beta2,ESS1->LSS1,-0.16828071350121834,-0.25141482395015335,-0.127066233919345
R_DLPFC,beta2,TS->ESS1,-1.5297715291838068,-1.2454195765255394,-0.6913773647239528
R_DLPFC,beta2,WS->ESS1,-2.019813659518703,-1.6575740686153078,-1.0734967592678137
R_DLPFC,beta2,WS->LSS1,-2.1873201083990335,-1.8126743876024831,-1.1437592717434268
R_DLPFC,beta2,WS->TS,-1.242255131662263,-0.8696736356656299,-0.7159388168492248
R_DLPFC,beta3,ESS1->LSS1,-0.7117058033255156,-0.5939699577250952,-0.5101584589945051
R_DLPFC,beta3,TS->ESS1,-0.6467784941967746,-0.6416428690693496,0.35092084850993255
R_DLPFC,beta3,WS->ESS1,-0.8311409313865258,-0.8599624432461216,0.4088421202875128
R_DLPFC,beta3,WS->LSS1,-1.5286269299312716,-1.2033766122078136,0.06353811580543321
R_DLPFC,beta3,WS->TS,-0.31367810584931627,-0.3419224669690596,0.10639956909084428
R_DLPFC,delta,ESS1->LSS1,1.6046848379480643,0.9559304228832038,0.5995894486375657
R_DLPFC,delta,TS->ESS1,0.6433229315846896,0.27872279961928,1.0641669434119112
R_DLPFC,delta,WS->ESS1,0.14747605380922124,0.09425645417421938,0.8490663431897221
R_DLPFC,delta,WS->LSS1,1.2565321433945982,1.0000147461442384,1.271371635820789
R_DLPFC,delta,WS->TS,-0.34487253564802106,-0.15283577305816937,0.13095958042364733
R_DLPFC,theta,ESS1->LSS1,1.4157423782911855,0.8679104431285966,0.6436854836827185
