roi,metric,contrast,contrast_label,n,dz,p,stars,mean_delta,ci95_lo,ci95_hi,band,metric_type
R_STG,log10_power_beta2,WS->TS,WS → TS,61,-1.3629724734488273,1.9002831248244516e-15,***,-0.1868560317906201,-0.22196756395897319,-0.15174449962226702,beta2,band_power
R_STG,log10_power_beta2,TS->ESS1,TS → ESS1,61,-1.2915753530014995,1.5353723740563115e-14,***,-0.20062479774501407,-0.24040753007006324,-0.1608420654199649,beta2,band_power
R_STG,log10_power_beta2,ESS1->LSS1,ESS1 → LSS1,61,-0.05412631976137476,0.6739961653525035,ns,-0.007808096617502972,-0.04475401141401952,0.029137818179013578,beta2,band_power
R_STG,log10_power_beta2,WS->ESS1,WS → ESS1,61,-1.856471958639334,2.8565894834774143e-21,***,-0.38748082953563423,-0.4409362280566562,-0.33402543101461224,beta2,band_power
R_STG,log10_power_beta2,WS->LSS1,WS → LSS1,61,-2.0764080680022965,1.326075567416121e-23,***,-0.3952889261531372,-0.44404533215560543,-0.346532520150669,beta2,band_power
R_STG,log10_power_beta3,WS->TS,WS → TS,61,-0.2987322033182026,0.02300919389215303,*,-0.03627516466787811,-0.06737492878753727,-0.0051754005482189565,beta3,band_power
R_STG,log10_power_beta3,TS->ESS1,TS → ESS1,61,-0.4355935978316344,0.0011957380431645462,**,-0.05529457249027256,-0.08780560491138825,-0.02278354006915686,beta3,band_power
R_STG,log10_power_beta3,ESS1->LSS1,ESS1 → LSS1,61,-0.7108105619523232,6.792647987179594e-07,***,-0.10290556572604168,-0.13998343225346313,-0.06582769919862022,beta3,band_power
R_STG,log10_power_beta3,WS->ESS1,WS → ESS1,61,-0.5720954253679599,3.555583969861007e-05,***,-0.09156973715815067,-0.13256307078705176,-0.05057640352924958,beta3,band_power
R_STG,log10_power_beta3,WS->LSS1,WS → LSS1,61,-1.465371252916245,1.009893005138753e-16,***,-0.19447530288419235,-0.22846494044730437,-0.16048566532108033,beta3,band_power
R_STG,log10_power_delta,WS->TS,WS → TS,61,-0.3206960311150808,0.014989312908567573,*,-0.07237547058431518,-0.13017543351543287,-0.014575507653197498,delta,band_power
R_STG,log10_power_delta,TS->ESS1,TS → ESS1,61,0.7417064362369657,2.7169260688389195e-07,***,0.13713946686545522,0.08978508699219295,0.1844938467387175,delta,band_power
R_STG,log10_power_delta,ESS1->LSS1,ESS1 → LSS1,61,1.6194046053301216,1.4165002936538272e-18,***,0.43807156857873625,0.36878972393021686,0.5073534132272557,delta,band_power
R_STG,log10_power_delta,WS->ESS1,WS → ESS1,61,0.2556732650940572,0.0503812294993966,ns,0.06476399628114,-0.0001111075718132487,0.12963910013409324,delta,band_power
R_STG,log10_power_delta,WS->LSS1,WS → LSS1,61,1.5198125838404577,2.1893580273706572e-17,***,0.5028355648598762,0.41810000648625384,0.5875711232334986,delta,band_power
R_STG,log10_power_theta,WS->TS,WS → TS,61,0.26934029423994343,0.03961275455583908,*,0.03980512265662235,0.0019549921875602547,0.07765525312568444,theta,band_power
R_STG,log10_power_theta,TS->ESS1,TS → ESS1,61,0.7013984631752479,8.961834193006661e-07,***,0.13852723311816667,0.08794475591095127,0.18910971032538207,theta,band_power
R_STG,log10_power_theta,ESS1->LSS1,ESS1 → LSS1,61,1.4578475826809574,1.2496629520796253e-16,***,0.3890230624650269,0.32068023035462284,0.4573658945754309,theta,band_power
R_STG,log10_power_theta,WS->ESS1,WS → ESS1,61,0.6465505875630659,4.4073917002386705e-06,***,0.17833235577478904,0.10769126761733641,0.24897344393224166,theta,band_power
R_STG,log10_power_theta,WS->LSS1,WS → LSS1,61,1.7014458444792622,1.5735006885983036e-19,***,0.567355418239816,0.4819536582534496,0.6527571782261823,theta,band_power
R_STG,theta_peak_height_log10,WS->TS,WS → TS,61,0.29507198647225075,0.024666757002909327,*,0.048537156135358896,0.006408646946769896,0.0906656653239479,theta,peak_height
