roi,band,metric_type,contrast,contrast_label,n_full,full_dz,half_dz_mean,half_dz_sd,ci95_lo,ci95_hi,dir_agree_pct,reliable,n_valid_iters
IPG,beta3,band_power,WS->TS,WS → TS,61,-0.5144,-0.5363,0.1696,-0.9566,-0.2564,100.0,True,1000
IPG,beta3,band_power,TS->ESS1,TS → ESS1,61,-0.8877,-0.9296,0.2004,-1.4053,-0.642,100.0,True,1000
IPG,beta3,band_power,ESS1->LSS1,ESS1 → LSS1,61,-0.6656,-0.6772,0.1435,-0.9993,-0.4229,100.0,True,1000
IPG,beta3,band_power,WS->ESS1,WS → ESS1,61,-1.2184,-1.242,0.1953,-1.712,-0.9329,100.0,True,1000
IPG,beta3,band_power,WS->LSS1,WS → LSS1,61,-2.1273,-2.1483,0.2353,-2.6872,-1.7614,100.0,True,1000
IPG,beta3,peak_height,WS->TS,WS → TS,61,0.0976,0.1033,0.141,-0.1615,0.406,77.3,False,1000
IPG,beta3,peak_height,TS->ESS1,TS → ESS1,61,0.1045,0.1168,0.1422,-0.1268,0.4227,78.5,False,1000
IPG,beta3,peak_height,ESS1->LSS1,ESS1 → LSS1,61,-0.4429,-0.4397,0.1354,-0.7066,-0.1775,99.9,True,1000
IPG,beta3,peak_height,WS->ESS1,WS → ESS1,61,0.1806,0.1937,0.1507,-0.0569,0.5392,92.5,True,1000
IPG,beta3,peak_height,WS->LSS1,WS → LSS1,61,-0.0806,-0.0739,0.1333,-0.3115,0.2131,71.6,False,1000
L_DLPFC,delta,band_power,WS->TS,WS → TS,61,-0.4328,-0.4628,0.1525,-0.7255,-0.2046,100.0,True,1000
L_DLPFC,delta,band_power,TS->ESS1,TS → ESS1,61,0.5132,0.5144,0.159,0.2433,0.8748,100.0,True,1000
L_DLPFC,delta,band_power,ESS1->LSS1,ESS1 → LSS1,61,1.437,1.459,0.189,1.1563,1.901,100.0,True,1000
L_DLPFC,delta,band_power,WS->ESS1,WS → ESS1,61,-0.042,-0.0376,0.1367,-0.2668,0.2769,66.2,False,1000
L_DLPFC,delta,band_power,WS->LSS1,WS → LSS1,61,0.9957,1.035,0.2719,0.6515,1.6651,100.0,True,1000
L_DLPFC,delta,peak_height,WS->TS,WS → TS,61,-0.0458,-0.0419,0.1331,-0.3132,0.2346,62.8,False,1000
L_DLPFC,delta,peak_height,TS->ESS1,TS → ESS1,61,0.6712,0.6878,0.1763,0.3855,1.0915,100.0,True,1000
L_DLPFC,delta,peak_height,ESS1->LSS1,ESS1 → LSS1,61,0.6375,0.6468,0.1104,0.4475,0.8686,100.0,True,1000
L_DLPFC,delta,peak_height,WS->ESS1,WS → ESS1,61,0.4459,0.4554,0.1482,0.1959,0.7795,99.9,True,1000
L_DLPFC,delta,peak_height,WS->LSS1,WS → LSS1,61,0.9424,0.9725,0.2031,0.6502,1.4148,100.0,True,1000
L_DLPFC,theta,band_power,WS->TS,WS → TS,61,0.1521,0.1551,0.1401,-0.1165,0.422,87.5,False,1000
L_DLPFC,theta,band_power,TS->ESS1,TS → ESS1,61,0.455,0.4657,0.1315,0.2369,0.7521,100.0,True,1000
L_DLPFC,theta,band_power,ESS1->LSS1,ESS1 → LSS1,61,1.344,1.3725,0.1774,1.0903,1.7975,100.0,True,1000
L_DLPFC,theta,band_power,WS->ESS1,WS → ESS1,61,0.4519,0.4492,0.1386,0.1918,0.7511,100.0,True,1000
L_DLPFC,theta,band_power,WS->LSS1,WS → LSS1,61,1.2921,1.3081,0.142,1.0689,1.618,100.0,True,1000
L_DLPFC,theta,peak_height,WS->TS,WS → TS,61,0.3195,0.3245,0.1386,0.0504,0.6195,99.1,True,1000
L_DLPFC,theta,peak_height,TS->ESS1,TS → ESS1,61,0.302,0.3154,0.1521,0.0468,0.6451,99.2,True,1000
L_DLPFC,theta,peak_height,ESS1->LSS1,ESS1 → LSS1,61,0.3811,0.3905,0.1349,0.1535,0.6835,99.9,True,1000
L_DLPFC,theta,peak_height,WS->ESS1,WS → ESS1,61,0.5429,0.5555,0.1514,0.2858,0.8853,100.0,True,1000
L_DLPFC,theta,peak_height,WS->LSS1,WS → LSS1,61,0.832,0.8386,0.1469,0.5768,1.1482,100.0,True,1000
L_DLPFC,alpha1,band_power,WS->TS,WS → TS,61,-1.2822,-1.2971,0.1526,-1.6233,-1.029,100.0,True,1000
L_DLPFC,alpha1,band_power,TS->ESS1,TS → ESS1,61,-1.8326,-1.8448,0.1824,-2.2672,-1.539,100.0,True,1000
L_DLPFC,alpha1,band_power,ESS1->LSS1,ESS1 → LSS1,61,0.0081,0.016,0.1451,-0.2349,0.3472,51.5,False,1000
L_DLPFC,alpha1,band_power,WS->ESS1,WS → ESS1,61,-2.6463,-2.6913,0.3144,-3.4218,-2.1877,100.0,True,1000
L_DLPFC,alpha1,band_power,WS->LSS1,WS → LSS1,61,-2.534,-2.563,0.2596,-3.1303,-2.1514,100.0,True,1000
L_DLPFC,alpha1,peak_height,WS->TS,WS → TS,61,-0.85,-0.8547,0.1235,-1.1186,-0.627,100.0,True,1000
