roi,metric,contrast,contrast_label,n,dz,p,stars,mean_delta,ci95_lo,ci95_hi
Occipital,beta1_peak_power_log10,TS->ESS1,TS → ESS1,61,-0.5680966207779605,3.965980011303098e-05,***,-0.10471981054433407,-0.15193006991660082,-0.05750955117206732
Occipital,beta1_peak_power_log10,ESS1->LSS1,ESS1 → LSS1,61,0.26878484925818835,0.040007871741273925,*,0.06033663079963156,0.002844816369963199,0.11782844522929992
Occipital,beta1_peak_power_log10,WS->ESS1,WS → ESS1,61,-1.0713157158638866,1.1609292183919232e-11,***,-0.2746838557523024,-0.3403505877672692,-0.20901712373733566
Occipital,beta1_peak_power_log10,WS->LSS1,WS → LSS1,61,-0.7224591462765365,4.813883199809169e-07,***,-0.2143472249526708,-0.29033335319940906,-0.13836109670593255
Occipital,beta1_peak_present,WS->TS,WS → TS,61,-0.18259954864490685,0.1590081660978512,ns,-0.03278688524590164,-0.07877336920841088,0.013199598716607593
Occipital,beta1_peak_present,TS->ESS1,TS → ESS1,61,0.12803687993289595,0.3213265032932463,ns,0.03278688524590164,-0.03279664990210692,0.0983704203939102
Occipital,beta1_peak_present,ESS1->LSS1,ESS1 → LSS1,61,0.12803687993289598,0.3213265032932463,ns,0.01639344262295082,-0.016398324951053454,0.0491852101969551
Occipital,beta1_peak_present,WS->ESS1,WS → ESS1,61,0.0,1.0,ns,0.0,-0.046759420176857976,0.046759420176857976
Occipital,beta1_peak_present,WS->LSS1,WS → LSS1,61,0.12803687993289595,0.32132650329324647,ns,0.01639344262295082,-0.01639832495105346,0.0491852101969551
Occipital,beta2_peak_cf_hz,WS->TS,WS → TS,61,0.08024267774624846,0.5332232588517052,ns,0.09016393442622951,-0.19761379795647127,0.37794166680893027
Occipital,beta2_peak_cf_hz,TS->ESS1,TS → ESS1,61,-0.042333577626981714,0.7420714346134797,ns,-0.04918032786885246,-0.3467140476495468,0.24835339191184186
Occipital,beta2_peak_cf_hz,ESS1->LSS1,ESS1 → LSS1,61,0.15546803795475206,0.22941209780474137,ns,0.1680327868852459,-0.10877777523841273,0.44484334900890454
Occipital,beta2_peak_cf_hz,WS->ESS1,WS → ESS1,61,0.03309319423244051,0.7969317888980622,ns,0.040983606557377046,-0.2761930596001971,0.35816027271495116
Occipital,beta2_peak_cf_hz,WS->LSS1,WS → LSS1,61,0.19110709636310846,0.14078335704437364,ns,0.20901639344262296,-0.07109661657327071,0.48912940345851663
Occipital,beta2_peak_height_log10,WS->TS,WS → TS,61,-0.3854437289796295,0.0038127806647786926,**,-0.0633721955552444,-0.10548047670714414,-0.021263914403344658
Occipital,beta2_peak_height_log10,TS->ESS1,TS → ESS1,61,-0.524355374924046,0.00012810802861078053,***,-0.08096672278922122,-0.12051345304069921,-0.04141999253774323
Occipital,beta2_peak_height_log10,ESS1->LSS1,ESS1 → LSS1,61,-0.04777342045452818,0.7103723927140809,ns,-0.004541652587642234,-0.028889317591876382,0.019806012416591915
Occipital,beta2_peak_height_log10,WS->ESS1,WS → ESS1,61,-0.7751948447461207,9.962780143029017e-08,***,-0.1443389183444656,-0.1920261723641328,-0.09665166432479841
Occipital,beta2_peak_height_log10,WS->LSS1,WS → LSS1,61,-0.73569908116612,3.249237099463967e-07,***,-0.14888057093210785,-0.20070894164726483,-0.09705220021695089
Occipital,beta2_peak_power_log10,WS->TS,WS → TS,61,-0.7822861738893914,8.046731319774589e-08,***,-0.16175612416288207,-0.214713300699511,-0.10879894762625314
Occipital,beta2_peak_power_log10,TS->ESS1,TS → ESS1,61,-1.0373811304632454,3.280508145375194e-11,***,-0.21226245238628821,-0.2646664692891365,-0.15985843548343995
Occipital,beta2_peak_power_log10,ESS1->LSS1,ESS1 → LSS1,61,-0.3546880350981781,0.007445812162512612,**,-0.05935714861206895,-0.10221755024514728,-0.016496746978990617
Occipital,beta2_peak_power_log10,WS->ESS1,WS → ESS1,61,-1.4154650536222824,4.1816659626008078e-16,***,-0.37401857654917026,-0.44169287558126635,-0.30634427751707416
Occipital,beta2_peak_power_log10,WS->LSS1,WS → LSS1,61,-1.674851646886948,3.189473927107114e-19,***,-0.43337572516123923,-0.4996458793885548,-0.36710557093392365
Occipital,beta2_peak_present,WS->TS,WS → TS,61,-0.12803687993289595,0.32132650329324647,ns,-0.01639344262295082,-0.0491852101969551,0.01639832495105346
Occipital,beta2_peak_present,TS->ESS1,TS → ESS1,61,0.12803687993289595,0.32132650329324647,ns,0.01639344262295082,-0.01639832495105346,0.0491852101969551
Occipital,beta2_peak_present,ESS1->LSS1,ESS1 → LSS1,61,,,ns,0.0,0.0,0.0
Occipital,beta2_peak_present,WS->ESS1,WS → ESS1,61,,,ns,0.0,0.0,0.0
Occipital,beta2_peak_present,WS->LSS1,WS → LSS1,61,,,ns,0.0,0.0,0.0
