roi,method,band,contrast,n,dz,p,stars,mean_delta
FC_midline,Hilbert,beta2,ESS1->LSS1,61,-0.395463717667621,0.003044188077374607,**,-0.0599400198073268
FC_midline,Hilbert,beta2,WS->ESS1,61,-2.1168569660229735,5.132136029782445e-24,***,-0.48055640472628786
FC_midline,Hilbert,beta2,WS->LSS1,61,-2.714960272271601,1.4593944768773885e-29,***,-0.5404964245336147
FC_midline,Hilbert,beta3,WS->TS,61,-0.52067871381788,0.00014109835224684886,***,-0.0724436430189756
FC_midline,Hilbert,beta3,TS->ESS1,61,-1.0899000869622653,6.5816932463960095e-12,***,-0.13324913916615594
FC_midline,Hilbert,beta3,ESS1->LSS1,61,-0.670289669703604,2.222833126256681e-06,***,-0.10750103694199271
FC_midline,Hilbert,beta3,WS->ESS1,61,-1.3779505245472103,1.2312850966485176e-15,***,-0.20569278218513154
FC_midline,Hilbert,beta3,WS->LSS1,61,-1.963452420934943,2.0011196860562247e-22,***,-0.3131938191271243
L_DLPFC,Residual,delta,WS->TS,61,-0.0457645401919183,0.7220222886953065,ns,-0.008154905494190455
L_DLPFC,Residual,delta,TS->ESS1,61,0.6712203745031027,2.1636266608074393e-06,***,0.10219373863342125
L_DLPFC,Residual,delta,ESS1->LSS1,61,0.6375025233683448,5.708734835587146e-06,***,0.10830523358436693
L_DLPFC,Residual,delta,WS->ESS1,61,0.4458710322719187,0.0009336782147892161,***,0.09403883313923081
L_DLPFC,Residual,delta,WS->LSS1,61,0.9423742073414025,6.07046257114155e-10,***,0.20234406672359773
L_DLPFC,Residual,theta,WS->TS,61,0.3194763707974344,0.015357893468376618,*,0.05866491762368501
L_DLPFC,Residual,theta,TS->ESS1,61,0.3020302111077725,0.021601372191431704,*,0.05528699201991059
L_DLPFC,Residual,theta,ESS1->LSS1,61,0.38107693681357124,0.004201334144706417,**,0.05857025564551403
L_DLPFC,Residual,theta,WS->ESS1,61,0.5429044787908304,7.832022127655904e-05,***,0.11395190964359561
L_DLPFC,Residual,theta,WS->LSS1,61,0.8320349475800164,1.7818407860781826e-08,***,0.17252216528910969
