roi,contrast,method1,method2,r,p,dir_agreement_pct,n_bands
R_STG,WS->TS,Residual,Hilbert,0.9459792092271263,0.0012652332653605774,71.42857142857143,7
R_STG,WS->TS,IRASA,Hilbert,0.9515213622760875,0.0009681811791551836,100.0,7
R_STG,TS->ESS1,Residual,IRASA,0.9087221743995677,0.004600373792437901,85.71428571428571,7
R_STG,TS->ESS1,Residual,Hilbert,0.8853841924391525,0.008023503801936838,85.71428571428571,7
R_STG,TS->ESS1,IRASA,Hilbert,0.9792494384603423,0.00011781037117361483,100.0,7
R_STG,ESS1->LSS1,Residual,IRASA,0.8970892392737675,0.006169255911318593,71.42857142857143,7
R_STG,ESS1->LSS1,Residual,Hilbert,0.8509993898846238,0.015165159760379849,71.42857142857143,7
R_STG,ESS1->LSS1,IRASA,Hilbert,0.9809645201057791,9.50430180110126e-05,100.0,7
R_STG,WS->ESS1,Residual,IRASA,0.9318555929849408,0.0022438196250584657,85.71428571428571,7
R_STG,WS->ESS1,Residual,Hilbert,0.9246125574063498,0.0028769513804686535,85.71428571428571,7
R_STG,WS->ESS1,IRASA,Hilbert,0.9872553836606127,3.4978336820237685e-05,100.0,7
R_STG,WS->LSS1,Residual,IRASA,0.8970708081146898,0.006171955387474488,71.42857142857143,7
R_STG,WS->LSS1,Residual,Hilbert,0.8637445210065188,0.012214575870920613,71.42857142857143,7
R_STG,WS->LSS1,IRASA,Hilbert,0.9946802808626475,3.95309089648614e-06,100.0,7
Occipital,WS->TS,Residual,IRASA,0.8770310159875983,0.009521740778039339,71.42857142857143,7
Occipital,WS->TS,Residual,Hilbert,0.8647488395334375,0.011997505020656923,71.42857142857143,7
Occipital,WS->TS,IRASA,Hilbert,0.8856544016434352,0.007977499976629282,100.0,7
Occipital,TS->ESS1,Residual,IRASA,0.9356381643496274,0.0019493231262793199,71.42857142857143,7
Occipital,TS->ESS1,Residual,Hilbert,0.8506908275261587,0.01524114044356014,71.42857142857143,7
Occipital,TS->ESS1,IRASA,Hilbert,0.9755972950366835,0.0001763386525941759,100.0,7
Occipital,ESS1->LSS1,Residual,IRASA,0.39568751708940597,0.37958754888961516,71.42857142857143,7
Occipital,ESS1->LSS1,Residual,Hilbert,0.3138765727062378,0.4930019691756656,71.42857142857143,7
Occipital,ESS1->LSS1,IRASA,Hilbert,0.9752444028039956,0.00018274828778531033,100.0,7
Occipital,WS->ESS1,Residual,IRASA,0.9158194078198734,0.0037723498152629326,85.71428571428571,7
